author,permlink,title,category,body,json_metadata,created,root_title,url,children
ben-edom,the-struggle-of-artificial-intelligence-to-take-over-the-comedy-industry,THE STRUGGLE OF ARTIFICIAL INTELLIGENCE TO TAKE OVER THE COMEDY INDUSTRY,hive-175254,"Artificial intelligence has made it possible for the improvement of technology in a fast way. Every decade, humans come up with a better invention that makes life more convenient to use. However, the presence of artificial intelligence has made innovation faster instead of the usual slow pattern we have in the production of technological update.

Artificial intelligence has amazed us on countless occasions, showing us that task that initially required days to do, could be carried out within hours, and some of the task that use to take us days before, could be carried out easily within hours.


![images - 2020-05-01T110950.090.jpeg](https://cdn.steemitimages.com/DQme1uoaLMjVCiNRBXS6TqMu1krBsVXNSC3y1vwhV6MbshU/images%20-%202020-05-01T110950.090.jpeg)
[Credit](https://newsroom.cisco.com/feature-content?type=webcontent&articleId=1938500)

Do you think it is possible that one day, artificial intelligence will replace comedy? In order for artificial intelligence to be able to make comedy by itself, the scientists ","{""app"":""peakd/2020.04.5"",""format"":""markdown"",""tags"":[""technology"",""comedy"",""artificial-intelligence"",""steemleo"",""steem-leo"",""robotics""],""links"":[""https://newsroom.cisco.com/feature-content?type=webcontent&amp;articleId=1938500"",""https://soundcloud.com/techforward/using-artificial"",""https://www.cbc.ca/amp/1.5159820""],""image"":[""https://cdn.steemitimages.com/DQme1uoaLMjVCiNRBXS6TqMu1krBsVXNSC3y1vwhV6MbshU/images%20-%202020-05-01T110950.090.jpeg"",""https://cdn.steemitimages.com/DQmbpp8spJLKJc3K6REEqQE99GkPtow9Pwk6D57E5yKNUKc/artworks-000517909629-f3xxej-t500x500.jpg"",""https://cdn.steemitimages.com/DQmSHY949daz3ndfc3ACcFPGVczZnw6oUXnSxFd3ucH5Kac/images%20-%202020-05-01T111810.388.jpeg""]}",2020-05-01 10:27:00,THE STRUGGLE OF ARTIFICIAL INTELLIGENCE TO TAKE OVER THE COMEDY INDUSTRY,/hive-175254/@ben-edom/the-struggle-of-artificial-intelligence-to-take-over-the-comedy-industry,7
ben-edom,managing-your-finance-with-reduced-spending-and-increased-income,Managing Your Finance With Reduced Spending and Increased income,hive-175254,"Accounting when it comes to personal finance is something that gives a lot of people cold feet as they do not want to discuss how much money they spent because their financial knowledge is very poor and so they handle money in the wrong manner. So many people do not understand the arithmetic of finance, they do not know how to use different financial skills properly like investing, budgeting and how spending works.

https://www.breakingtheonepercent.com/wp-content/uploads/compound-interest-in-a-savings-account.jpg
[credit](https://images.app.goo.gl/zZDmaVUKTS5dW8MN9)

Okay, I am not an expert in financial education or how to handle finance but I have been doing this for a while and I could tell that it has paid off. The first thing about personal finance is understanding the difference between debit and credit, spending and savings, when these are understood then it is easy to get to financial freedom.

Credit is the addition of money into a person’s account while debit is the removal of money from a person’","{""app"":""peakd/2020.11.4"",""format"":""markdown"",""tags"":[""finance"",""money"",""spending"",""saving"",""investing"",""debts"",""financial-management"",""leofinance""],""links"":[""https://images.app.goo.gl/zZDmaVUKTS5dW8MN9"",""https://images.app.goo.gl/q45WzuzXjUgt315MA""],""image"":[""https://www.breakingtheonepercent.com/wp-content/uploads/compound-interest-in-a-savings-account.jpg"",""https://image.shutterstock.com/image-vector/symbolic-profit-increased-income-symbol-600w-1667385928.jpg""]}",2020-12-02 16:14:57,Managing Your Finance With Reduced Spending and Increased income,/hive-175254/@ben-edom/managing-your-finance-with-reduced-spending-and-increased-income,3
ben-edom,my-top-three-review-qlc2qd,My Top Three Review.,ph-review,"Hello friends,  welcome to  my review on project hope. Irrespective of the economic down time, I suggest that we all stay happy not taking for granted the little things that excite us during this period.

### A Short Introduction

I did this in my last post and i will be doing it again. If you haven't heard about project hope on Steemit and on Hive, then it is visible you are not on both blockchain as the community has grown strong even in the midst of the steemit and hive crises as well as become more active. 


You can tell with the numbers of subscribers and active users present in the community. A vision of @crypto.piotr and a combination of great team members which includes @juanmolina, @fucho80, @lanzjoseg, @pedrobrito2004 ,@jadams2k18 ,@gbenga and @josevas217.

### The Main Thing

Writers on project.hope are committed to writing amazing and original content. It is no news that the community frowns against plagiarism.  In that note, I will be sharing with you 3 posts that got my attention on the projec","{""app"":""peakd/2020.11.4"",""format"":""markdown"",""tags"":[""ph-review"",""piotr"",""money"",""skill"",""leofinance"",""saving"",""business""],""users"":[""crypto.piotr"",""juanmolina"",""fucho80"",""lanzjoseg"",""pedrobrito2004"",""jadams2k18"",""gbenga"",""josevas217."",""tfame3865"",""busted1"",""adityajainxds"",""ben-edom"",""project.hope""],""links"":[""/@crypto.piotr"",""/@juanmolina"",""/@fucho80"",""/@lanzjoseg"",""/@pedrobrito2004"",""/@jadams2k18"",""/@gbenga"",""/@josevas217"",""/@tfame3865"",""https://steemit.com/hive-175254/@tfame3865/the-power-of-savings-business-guild""],""image"":[""https://cdn.steemitimages.com/DQmTsenFUd8BWHMsZG7wug4C9kBRMW5TXdREeynRZds2uvr/AmRc67RgYaWTCbCd1L4AQP82AFWYYzZC15DpSZWeSYgzVN9Z8qUeY6gYVRJBF4TJhqm33uN73BPYXLWdaxg4CpJa3SoBjTd8KNR5Am79Uzow7KvgQ5As5HrqhapvSoeR3SRnLWQCsdSg2XHyutAi1X5XkKDUj7Se.jpeg"",""https://cdn.steemitimages.com/DQmauJWc6gYWHNZ6modzvVim5mdND44k7SG9DGk9aLMoMC9/AmRc67RgYaWTCbCd1L4AQP82AFWYYzZC15DpSZWeSYgzVNaR9czhjmxtPFJv4P7zfbCqTs9FFT75XfAGNviy95TDs9hdCuTGFKYH8V2f5Kx1LheggN6KssHu2kqXD87eP4o7eBMNduwFWhmA1cLtoVsL2mUJm6nr.jpeg""",2020-12-14 14:25:51,My Top Three Review.,/ph-review/@ben-edom/my-top-three-review-qlc2qd,2
ben-edom,how-to-increase-your-level-of-income,How to Increase Your Level of Income. ,hive-175254,"Last year was a tough one no doubt but it opened our eyes to the fact that we need more than one source of income to sustain our families and of course that necessary sacrifices has to be made if we are determined to accumulate more wealth. Life is all about making sacrifices and if we desire something, then we must be able to make the required sacrifice to get that thing accomplished. 


![images - 2021-01-05T124311.958.jpeg](https://cdn.steemitimages.com/DQmX2X8rYe6MjRFeTiraDSjBoPixdKoEMVvX8sMVeHCGX2F/images%20-%202021-01-05T124311.958.jpeg)

[Image source](https://www.listenmoneymatters.com/money-making-ideas-increase-income/)

#### Re-create yourself.

The greatest formula to making more income is re-creation, re-creation simply means that you place yourself in a position of improvement and a point where you just want to get better and become a better individual, if you fail to improve on yourself you remain stagnant but with improvement it becomes possible for you to become a much better skilled person ","{""app"":""peakd/2020.12.3"",""format"":""markdown"",""tags"":[""finance"",""income"",""budget"",""leofinance"",""tax""],""links"":[""https://www.listenmoneymatters.com/money-making-ideas-increase-income/"",""https://www.google.com/amp/s/www.forbes.com/sites/jaimecatmull/2019/08/15/10-ways-to-increase-your-annual-income/amp/""],""image"":[""https://cdn.steemitimages.com/DQmX2X8rYe6MjRFeTiraDSjBoPixdKoEMVvX8sMVeHCGX2F/images%20-%202021-01-05T124311.958.jpeg"",""https://cdn.steemitimages.com/DQmdm4v2aeFWkgpnHntYJWWRxcXNFpFfDEqQ9wKKJJWMnF5/images%20-%202021-01-05T124453.015.jpeg""]}",2021-01-05 11:47:18,How to Increase Your Level of Income. ,/hive-175254/@ben-edom/how-to-increase-your-level-of-income,4
ben-edom,bill-gate-the-richest-person-i-know,"Bill Gate, the Richest Person I Know",hive-175254,"Bill gates have been the highest title holder of the world's richest man in the last 2 decades. He held the title for a very long time until he was over taken by Jeff Bezos. Jeff Bezos was the richest man and held this post and every created a title of being the first Billionaire tot reach $200B not until Elon Musk took over the title of the world's richest man within the space of one year.

https://api.time.com/wp-content/uploads/2019/10/bill-gates-cambridge-lecture-02.jpg
[source](https://images.app.goo.gl/Z2ecpfYWP26FeLyt9)

Although Gates has lost his title as the number 1 billionaire in the world, he still remains the world richest man to a lot of people and me especially. If we are looking at shares per company stocks market capitalization, Elon Musk would be regarded as the richest man in the world. If I were to rate based on influence, I could pick Jeff Bezos but if I am to pick based on innovation, Elon Musk is has been the most innovative in the last 5 years.


Bill Gates is the forth richest man i","{""app"":""peakd/2021.01.3"",""format"":""markdown"",""tags"":[""bill-gates"",""finance"",""money"",""wealth"",""billionaire"",""leofinance""],""links"":[""https://images.app.goo.gl/Z2ecpfYWP26FeLyt9""],""image"":[""https://api.time.com/wp-content/uploads/2019/10/bill-gates-cambridge-lecture-02.jpg""]}",2021-01-22 18:38:48,"Bill Gate, the Richest Person I Know",/hive-175254/@ben-edom/bill-gate-the-richest-person-i-know,4
ben-edom,my-top-three-review-qncugf,My Top Three Review.,ph-review,"Hello friends,  welcome to  my review on project hope. Irrespective of the economic down time, I suggest that we all stay happy not taking for granted the little things that excite us during this period.

### A Short Introduction

I did this in my last post and i will be doing it again. If you haven't heard about project hope on Steemit and on Hive, then it is visible you are not on both blockchain as the community has grown strong even in the midst of the steemit and hive crises as well as become more active. 


You can tell with the numbers of subscribers and active users present in the community. A vision of @crypto.piotr and a combination of great team members which includes @juanmolina, @fucho80, @lanzjoseg, @pedrobrito2004 ,@jadams2k18 ,@gbenga and @josevas217.

### The Main Thing

Writers on project.hope are committed to writing amazing and original content. It is no news that the community frowns against plagiarism.  In that note, I will be sharing with you 3 posts that got my attention on the projec","{""app"":""peakd/2021.01.3"",""format"":""markdown"",""tags"":[""ph-review"",""piotr"",""engagement"",""lifestyle"",""investment""],""users"":[""crypto.piotr"",""juanmolina"",""fucho80"",""lanzjoseg"",""pedrobrito2004"",""jadams2k18"",""gbenga"",""josevas217."",""oredebby"",""josediccus"",""wiseagent"",""ben-edom"",""project.hope""],""links"":[""/@crypto.piotr"",""/@juanmolina"",""/@fucho80"",""/@lanzjoseg"",""/@pedrobrito2004"",""/@jadams2k18"",""/@gbenga"",""/@josevas217"",""/@oredebby"",""https://steemit.com/hive-175254/@oredebby/investing-your-time-versus-investing-your-money""],""image"":[""https://cdn.steemitimages.com/DQmNnzfybBbgaUZXKbV75zebBUqr18u1rC5nbYeAXf6vLty/99pyU5Ga1kwr5Xg46gnE3BrdGQcYkevrMfGqYdeegwisH5uTquvn5UQGxqN8hrekRYRE3KCpAN7Q6z2G7qF5Hj54DP8GYdWU6Hm9qHB3s9ADYcEigGF52WACzA85Q5oLLW.jpeg"",""https://cdn.steemitimages.com/DQmenXeqFDazFHgm2NY6ppbpuMLfbvQ5dMtZrkCAgLqhRaH/HNWT6DgoBc1692QWn5trsLBYecSp3jKD1kzdmSDqsVAd6eV58h76PGz4JJzqgSBfLEPwk9GVqE2FjKE6t1G7kC6rXkwDSwQFQ72R8LuFJgqBtZRrZK9TAwFhdAn.jpeg"",""https://cdn.steemitimages.com/DQmPGixo49hJaUeDQ42MbVYs34DXnJBA4xtqAG",2021-01-22 21:32:09,My Top Three Review.,/ph-review/@ben-edom/my-top-three-review-qncugf,3
ben-edom,the-principle-of-wealth-seen-in-different-directions,The principle of wealth seen in different directions. ,hive-175254,"A normal person usually just wants to stay afloat of bad situation, get a job that pays the bills, something to feed the family and they are good with it, although there seem not to be a problem with this but if you are the type that desires more from life then you should be ready to go extra mile to make that happen. If you are always trying to play safe in the world of finance, you may never be able to get more than you bargain or desire, playing safe is a thing that wealthy people do not know how to do. 


![images (5).png](https://cdn.steemitimages.com/DQmZ5eDSaKz6ZQkLWieaihE88hgAU9YjjwggsH7hUX5zzHy/images%20(5).png)

[Credit](https://www.ciswealth.com/2013/06/28/10th-principle-of-biblical-wealth-management-what-is-biblical-wealth/)

A normal person will usually see money as a bad tool or describe money as the source of every misfortunes in the world, meanwhile this person works all through the day and night just to get the penny that will be able to keep up with the bills. The wealthy understand the imp","{""app"":""peakd/2021.01.3"",""format"":""markdown"",""tags"":[""wealth"",""leofinance"",""finance"",""excuses"",""wisdom""],""links"":[""https://www.ciswealth.com/2013/06/28/10th-principle-of-biblical-wealth-management-what-is-biblical-wealth/"",""https://www.authentic.com.au/free-events/financial-freedom-formula/""],""image"":[""https://cdn.steemitimages.com/DQmZ5eDSaKz6ZQkLWieaihE88hgAU9YjjwggsH7hUX5zzHy/images%20(5).png"",""https://cdn.steemitimages.com/DQmX5sY17DyFqmHDSp3CmRGfjA6h27FtFJ8rLgRh4hPTqTw/images%20(6).png""]}",2021-02-01 16:17:15,The principle of wealth seen in different directions. ,/hive-175254/@ben-edom/the-principle-of-wealth-seen-in-different-directions,2
ben-edom,sales-is-persuasion-and-everyone-is-part-of-it,Sales is Persuasion and everyone is part of it,hive-175254,"Let me tell you something today ""Sales is Persuasion and everyone is part of it"". A lot of people will tell you that they have never been a part of sales of know anything about sales because they aren't called salesmen or any other name associated with sales but that is not true. We are all into sales either we agree to it or not and it is as simple as convincing someone to agree with you on something.

https://cdn.business2community.com/wp-content/uploads/2017/02/Top-5-Growth-Marketing-Tips-To-Double-Your-Sales.jpg.jpg
[source](https://images.app.goo.gl/6gqWCDFCYHAtDAC49)


Going for an interview and telling your prospective employer the reason why they should employ you over others is just selling yourself to your employer and that is sales. Selling does not often require money, it is about persuading people to do what you want from them. It is about getting them to prefer you over another on a parallel level. You are either selling a good, service, personality, idea, and conspiracy, you can literarily sel","{""app"":""peakd/2021.01.3"",""format"":""markdown"",""tags"":[""sales"",""business"",""entrepreneurship"",""salesperson"",""sales-skills"",""leofinance""],""links"":[""https://images.app.goo.gl/6gqWCDFCYHAtDAC49"",""https://images.app.goo.gl/qn8L74eVkA4UnFdb6""],""image"":[""https://cdn.business2community.com/wp-content/uploads/2017/02/Top-5-Growth-Marketing-Tips-To-Double-Your-Sales.jpg.jpg"",""https://www.incimages.com/uploaded_files/image/1920x1080/GettyImages-97228789_410796.jpg""]}",2021-02-07 21:31:33,Sales is Persuasion and everyone is part of it,/hive-175254/@ben-edom/sales-is-persuasion-and-everyone-is-part-of-it,0
ben-edom,my-top-three-review-qq35aj,My Top Three Review.,ph-review,"Hello friends,  welcome to  my review on project hope. Irrespective of the economic down time, I suggest that we all stay happy not taking for granted the little things that excite us during this period.

### A Short Introduction

I did this in my last post and I will be doing it again. If you haven't heard about project hope on Steemit and on Hive, then it is visible you are not on both blockchain as the community has grown strong even in the midst of the steemit and hive crises as well as become more active. 


You can tell with the numbers of subscribers and active users present in the community. A vision of @crypto.piotr and a combination of great team members which includes @juanmolina, @fucho80, @lanzjoseg, @pedrobrito2004 ,@jadams2k18 ,@gbenga and @josevas217.

### The Main Thing

Writers on project.hope are committed to writing amazing and original content. It is no news that the community frowns against plagiarism.  In that note, I will be sharing with you 3 posts that got my attention on the projec","{""app"":""peakd/2021.03.7"",""format"":""markdown"",""tags"":[""ph-review"",""piotr"",""investment"",""banking""],""users"":[""crypto.piotr"",""juanmolina"",""fucho80"",""lanzjoseg"",""pedrobrito2004"",""jadams2k18"",""gbenga"",""josevas217."",""valchiz"",""grace-p"",""mandate"",""ben-edom"",""project.hope""],""links"":[""/@crypto.piotr"",""/@juanmolina"",""/@fucho80"",""/@lanzjoseg"",""/@pedrobrito2004"",""/@jadams2k18"",""/@gbenga"",""/@josevas217"",""/@valchiz"",""https://steemit.com/hive-175254/@valchiz/the-power-of-planning-and-how-it-is-important-in-business""],""image"":[""https://cdn.steemitimages.com/DQmQqrPXazkihyrDLvBZ7K2EKLxpkLLa1K6jjDzxYFNwuSX/HNWT6DgoBc1692QWn5trsLBYecSp3jKD1kzdmSDMkk3y7NQPaHALR9LViVkFZu3Wps6WYSY5bGWQcQb74Z3g3Tx4M9Caobq4MbcHyh3Hooux2LanyXeWmddX41C.jpeg"",""https://cdn.steemitimages.com/DQmRB9V4ztm6PSmJqGda6ZCpnMg8QkC9XNMTW3nq9TotMsv/MG5aEqKFcQi6ksuzVh6Jg2nEp6wn6URVpJYJ87uTQCYCoxGtAqPMhn8oDdtTLoC4tHpfZe8TCygWUjoGtHJ4s6tbpubHzJaY6%20(1).jpeg"",""https://cdn.steemitimages.com/DQmesXwwJR7msvMAYfdyRLZbDbfBksfvM9pquFFz6rohxky/3DLAmCsuTe3bV13dhrdWmiiTzq9WMP",2021-03-16 23:30:24,My Top Three Review.,/ph-review/@ben-edom/my-top-three-review-qq35aj,2
ben-edom,hacks-to-increase-saving-habits,Hacks to increase saving habits.,saving,"Saving money is very important and we definitely have learnt from books and even real life experience about the very important need to have a good habit of saving. It is incredibly a good idea to have some good funds saved up somewhere and these hacks will help you to be able to save more.


![images - 2021-06-22T175236.470.jpeg](https://cdn.steemitimages.com/DQmTErBgV79hUnjEU48FhkzsxnY65bnE8rRwzjPFh8TL5G5/images%20-%202021-06-22T175236.470.jpeg)

[Image link](https://www.aegonlife.com/insurance-investment-knowledge/7-hacks-to-help-you-get-into-the-habit-of-saving-more/amp/)

### Fix a budget.
It is not only companies that need a budget, even individuals need to learn how to budget also. Having a budget that covers how much you will like to spend within a specific period and what they need to be used for is a great way to help you have a good saving habit. These budgets will help you eliminate the things you do not need and it will also help you put the extra funds into savings.

### Monitor the little spend","{""app"":""peakd/2021.06.2"",""format"":""markdown"",""tags"":[""saving"",""leofinance"",""finance"",""money"",""discipline"",""piotr""],""users"":[],""image"":[""https://cdn.steemitimages.com/DQmTErBgV79hUnjEU48FhkzsxnY65bnE8rRwzjPFh8TL5G5/images%20-%202021-06-22T175236.470.jpeg"",""https://cdn.steemitimages.com/DQmQXCnAHRmebFhmUUrcCF2swwDXL6AE3R2CHHWKoMv7B7V/images%20-%202021-06-22T175403.302.jpeg""]}",2021-06-22 16:57:18,Hacks to increase saving habits.,/saving/@ben-edom/hacks-to-increase-saving-habits,0
ben-edom,a-good-person-should-worry-more-about-impact-than-money,A good person should worry more about impact than money. ,finance,"It is quite understandable that in the world we live in every penny matters a lot and we put in so much energy to ensure that we look for jobs that offer most of the best payment options and we simply decide to put in as much dedication into a work based on how well we are being paid for that job but a wise man once told me that for the sake of our future, it is necessary to put in more work than we are being paid for.


![images - 2021-06-15T224752.043.jpeg](https://cdn.steemitimages.com/DQmSUp36j9LbBn4EVB2aqBkfDp9qGUcHmU6S845dWcfN1tm/images%20-%202021-06-15T224752.043.jpeg)

[Image link](https://seibco.com/how-do-you-impact-others-each-and-every-day/)

No amount of money can conveniently quantify the impacts that a good man leaves on the surface of the earth and of course that is enough reason for us not to quantify our good deeds with the amount of money we receive as pay back for it. It remains a very healthy decision to continue to make valuable contributions beyond the figures of paper wherever we find","{""app"":""peakd/2021.06.2"",""format"":""markdown"",""tags"":[""finance"",""management"",""relationship"",""piotr""],""users"":[],""image"":[""https://cdn.steemitimages.com/DQmSUp36j9LbBn4EVB2aqBkfDp9qGUcHmU6S845dWcfN1tm/images%20-%202021-06-15T224752.043.jpeg""]}",2021-06-15 21:52:09,A good person should worry more about impact than money. ,/finance/@ben-edom/a-good-person-should-worry-more-about-impact-than-money,0
ben-edom,raising-capital-for-your-start-up,Raising capital for your start-up. ,hive-175254,"A lot of people who have brilliant ideas have this issue of being able to raise funds for their start-ups, raising funds for a start-up remains a very big issue because very little people believe in business at its early stage until it grows into something big. Gladly, start-ups can still raise funds through some ways and then they can easily have their ideas blossom into something that everyone would like to be a part of.


![images (94).jpeg](https://cdn.steemitimages.com/DQmVLgpGhQrq6o83UYtY5Y3VNFXjuaszfc67jTgejwCFifW/images%20(94).jpeg)

[shutterstock.com](https://www.shutterstock.com/search/start+up+capital)

The first and most common option for most start-up entrepreneurs is usually to source for funds from family and friends, these are always the very first options that they have although it is not really feasible because these friends and family might probably not believe in the dreams and vision of this entrepreneur but once the entrepreneur is able to get the capable friends and family convinced en","{""app"":""peakd/2021.04.5"",""format"":""markdown"",""tags"":[""entrepreneur"",""funds"",""leofinance"",""capital"",""finance""],""image"":[""https://cdn.steemitimages.com/DQmVLgpGhQrq6o83UYtY5Y3VNFXjuaszfc67jTgejwCFifW/images%20(94).jpeg"",""https://cdn.steemitimages.com/DQmYqQQugZb6ufreYsJqhniSGDWFgkGAtFQzvDJsBHkp5Xs/woman-working-documents-tablet-pc-260nw-529512187.webp""]}",2021-05-12 10:24:30,Raising capital for your start-up. ,/hive-175254/@ben-edom/raising-capital-for-your-start-up,2
ben-edom,things-to-consider-before-going-ahead-with-your-side-hustle,THINGS TO CONSIDER BEFORE GOING AHEAD WITH YOUR SIDE HUSTLE. ,hive-175254,"Asides from having a basic job, a side hustle is another great consideration that we need to have, this is probably no news because a lot of people now understand the need of having a side hustle and how this side hustles can save them from problems and difficulties. However, it is also common to see people going about side hustles from a wrong approach.


![images (87).jpeg](https://cdn.steemitimages.com/DQme6QNnZAp6HKtwHnKH4EyP6vJTHaAu8cf3xd3fZovz7gN/images%20(87).jpeg)

[Credit](https://www.google.com/amp/s/www.financialexpress.com/money/investment-portfolio-what-is-it-and-how-to-build-an-investment-portfolio/2230546/lite/)


#### Common reasons why people look for side hustles.
People look for side hustles in order to have more income to meet their everyday requirements, asides from the money coming in from usual jobs, side hustles seem to be a very good avenue to make extra income and have more needs meet.

People also look for side hustles because they have plans to quit their jobs in the nearest futur","{""app"":""peakd/2021.04.5"",""format"":""markdown"",""tags"":[""business"",""approach"",""finance"",""leofinance""],""image"":[""https://cdn.steemitimages.com/DQme6QNnZAp6HKtwHnKH4EyP6vJTHaAu8cf3xd3fZovz7gN/images%20(87).jpeg"",""https://cdn.steemitimages.com/DQmbUUWJv96J5S3wHs2VD3YrCLMVoKBRNUh4e2SjLx2oHdd/images%20(88).jpeg""]}",2021-05-10 21:34:00,THINGS TO CONSIDER BEFORE GOING AHEAD WITH YOUR SIDE HUSTLE. ,/hive-175254/@ben-edom/things-to-consider-before-going-ahead-with-your-side-hustle,0
ben-edom,the-consistent-habits-of-a-wealth-builder,The consistent habits of a wealth builder. ,hive-175254,"Majority of wealthy people that we have in the world today started off from a very humble and low background, they started from having nothing to a point where they began to accumulate money and they were able to develop themselves to a point where the world began to regard them as being millionaires. Without wasting time, let us take a look at some of the formulas used for getting successful by these prominent successful men and us as aspirers could also pick up some lessons from there. 


![images (72).jpeg](https://cdn.steemitimages.com/DQmS1uqQUT1B8gTPQ1mACjv6MV9rGP3MY8wgurpVUhsUoPT/images%20(72).jpeg)

[Image Credit](https://www.google.com/amp/s/financialpost.com/personal-finance/retirement/five-principles-of-building-wealth-to-get-you-primed-for-a-post-pandemic-world/wcm/986c946c-d2ca-43e8-b72a-258dec09f688/amp/)

Becoming a self-made successful person is an outcome of the type of mind set that we have, becoming an achiever means that you will be ready to face challenges and not give up on life wheneve","{""app"":""peakd/2021.04.5"",""format"":""markdown"",""tags"":[""finance"",""wealth"",""investment"",""success"",""leofinance""],""image"":[""https://cdn.steemitimages.com/DQmS1uqQUT1B8gTPQ1mACjv6MV9rGP3MY8wgurpVUhsUoPT/images%20(72).jpeg"",""https://cdn.steemitimages.com/DQmSxkiDHgkzBtBPvTHiATGtScHdXTNnZZhs7LUzhKG2ZA6/images%20(74).jpeg""]}",2021-05-05 13:01:42,The consistent habits of a wealth builder. ,/hive-175254/@ben-edom/the-consistent-habits-of-a-wealth-builder,2
ben-edom,my-top-three-review-qsi2b5,My Top Three Review.,review,"Hello friends,  welcome to  my review on project hope. Irrespective of the economic down time, I suggest that we all stay happy not taking for granted the little things that excite us during this period.

### A Short Introduction

I did this in my last post and I will be doing it again. If you haven't heard about project hope on Steemit and on Hive, then it is visible you are not on both blockchain as the community has grown strong even in the midst of the steemit and hive crises as well as become more active. 


You can tell with the numbers of subscribers and active users present in the community. A vision of @crypto.piotr and a combination of great team members which includes @juanmolina, @fucho80, @lanzjoseg, @pedrobrito2004 ,@jadams2k18 ,@gbenga and @josevas217.

### The Main Thing

Writers on project.hope are committed to writing amazing and original content. It is no news that the community frowns against plagiarism.  In that note, I will be sharing with you 3 posts that got my attention on the projec","{""app"":""peakd/2021.04.4"",""format"":""markdown"",""tags"":[""review"",""piotr"",""management"",""business"",""relationship""],""users"":[""crypto.piotr"",""juanmolina"",""fucho80"",""lanzjoseg"",""pedrobrito2004"",""jadams2k18"",""gbenga"",""josevas217."",""benie111"",""tfame3865""],""image"":[""https://cdn.steemitimages.com/DQmZUPgiSbpwF7Pqwbs5Nes6Sfr3dhJzovcemJPNuavFMra/D5zH9SyxCKdAD9rYwjD1VDFVfes4J8WBmiaYPdf4AN1RM6LtMNWXjDPvHDdXF4LkpDaC3Azth5zjbdtWvVi8qyEKFGaHv2sDtwcBuqsPnjni5Kaqm9yPYprucoqfnCp7dT1D82%20(1).jpeg"",""https://cdn.steemitimages.com/DQmfJCJtVpFDPnt7rF3R1KBDBSMq6e3uqEk319hmYBqYz4g/JvFFVmatwWHRfvmtd53nmEJ94xpKydwmbSC5H5svBACH81BSYAi4AdxXx9GwanjSeNJG4ZKZx7pJ9Krvi5zaZm4sFGaQwJGVEQC3JvyKNAecc68ikHdVUhYr85aci9WDPzPQN3jtHC.jpeg"",""https://cdn.steemitimages.com/DQmQxBnKpm78mBABnvHCYQWMBFSugJfNCbasu3mn7usbWtW/PB8ro82ZpZP35bVGjGoE93K3E4U5KX8KtMBJ2rgpioqyjqD26xsovMVVyQkuBGtNfhrCo6FXzrzQRkLyjPYhjxAoyZqBNdFBf8WFGXAScuBRCzeA.png""]}",2021-05-02 21:57:12,My Top Three Review.,/review/@ben-edom/my-top-three-review-qsi2b5,1
ben-edom,important-time-management-tricks,IMPORTANT TIME MANAGEMENT TRICKS. ,hive-175254,"Time management is a thing that we should all get trained towards, even if you are working for yourself you still really need to be careful with the way you manage your time or you become inefficient and totally unproductive. In order to be good at time management, we need to be aware of some really sensitive facts that will help us become really good at time management.


![images (62).jpeg](https://cdn.steemitimages.com/DQmUKvLjrpSW8v8MiQUgWbeFqNPsnRr9uqjDArzGVmfX18x/images%20(62).jpeg)

[Image source](https://woc.aises.org/content/time-management-tips-busy-professionals)

That we are in control of our time is a thing that will help us become more careful with the way we manage our time, irrespective of how rigid our work schedule is or how difficult our boss is, we need to be really aware that we are masters of whatever we do with our time and either we succeed or fail at it is completely up to us.


![images (2).png](https://cdn.steemitimages.com/DQmPf4aqFW6sGq7jhdUyKQuYbmJ1YTT9djgRrVNKtHcxBDb/images%20(","{""app"":""peakd/2021.04.4"",""format"":""markdown"",""tags"":[""time"",""skill"",""productivity"",""achievement"",""leofinance""],""image"":[""https://cdn.steemitimages.com/DQmUKvLjrpSW8v8MiQUgWbeFqNPsnRr9uqjDArzGVmfX18x/images%20(62).jpeg"",""https://cdn.steemitimages.com/DQmPf4aqFW6sGq7jhdUyKQuYbmJ1YTT9djgRrVNKtHcxBDb/images%20(2).png""]}",2021-05-01 14:54:57,IMPORTANT TIME MANAGEMENT TRICKS. ,/hive-175254/@ben-edom/important-time-management-tricks,5
